"output_freq","GPS_reference","N31","N2_HS","N2_LS","N1_HS","NC1_LS","BW"
960,184659,1,11,3200,11,615530,9
961,194122,1,11,3044,11,614888,9
962,195195,1,10,3330,11,614250,9
963,183398,1,11,3222,11,613612,9
964,175448,1,11,3368,11,612976,9
965,164050,1,11,3602,11,612340,9
966,191774,1,9,3766,11,611706,9
967,86063,1,11,6866,11,611074,9
968,174412,1,11,3388,11,610442,9
969,199766,1,11,2958,11,609812,9
970,190370,1,11,3104,11,609184,9
971,161186,1,11,3666,11,608556,9
972,182379,1,11,3240,11,607930,9
973,74921,1,7,12394,11,607306,9
974,151670,1,11,3896,11,606680,9
975,194250,1,11,3042,11,606060,9
976,142456,1,11,4148,11,605438,9
977,100803,1,11,5862,11,604818,9
978,185820,1,11,3180,11,604200,9
979,150896,1,11,3916,11,603584,9
980,186760,1,11,3164,11,602968,9
981,184428,1,11,3204,11,602352,9
982,150435,1,11,3928,11,601740,9
983,194634,1,11,3036,11,601128,9
984,195406,1,11,3024,11,600516,9
985,78935,1,11,7486,11,599906,9
986,199766,1,11,2958,11,599298,9
987,99782,1,9,7238,11,598692,9
988,199362,1,11,2964,11,598086,9
989,197628,1,11,2990,11,597480,9
990,191853,1,11,3080,11,596876,9
991,99379,1,11,5946,11,596274,9
992,198558,1,11,2976,11,595674,9
993,175761,1,11,3362,11,595074,9
994,198158,1,11,2982,11,594474,9
995,87335,1,11,6766,11,593878,9
996,192228,1,11,3074,11,593282,9
997,170487,1,11,3466,11,592686,9
998,197364,1,11,2994,11,592092,9
999,194250,1,11,3042,11,591500,9
1000,147727,1,11,4000,11,590908,9
1001,147579,1,11,4004,11,590316,9
1002,196576,1,9,3674,11,589728,9
1003,193107,1,11,3060,11,589140,9
1004,196184,1,11,3012,11,588552,9
1005,183740,1,11,3216,11,587968,9
1006,146846,1,11,4024,11,587384,9
1007,185820,1,11,3180,11,586800,9
1008,195406,1,11,3024,11,586218,9
1009,146409,1,11,4036,11,585636,9
1010,68030,1,11,8686,11,585058,9
1011,172881,1,11,3418,11,584478,9
1012,194634,1,11,3036,11,583902,9
